uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,JOAO PESSOA - Centro,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,250.00,,,1,,,,549.60,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão de Recursos Humanos,Tecnológico,Noturno,360.60,4,3,,,591.40,568.36,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão de Recursos Humanos,Tecnológico,Matutino,331.00,3,2,,,578.24,567.40,,
PB,Joao Pessoa,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,JOÃO PESSOA - Tambauzinho,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,286.02,1,,,,508.68,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,278.00,,,1,,,,566.08,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,278.00,,,1,,,,509.06,
PB,Joao Pessoa,Faculdade Dom Bosco - FDB,POLO JOÃO PESSOA - Centro,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,1195.74,3,2,,,551.08,518.54,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Gestão de Recursos Humanos,Tecnológico,Noturno,459.82,1,,,,573.36,,,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Gestão de Recursos Humanos,Tecnológico,Noturno,386.65,2,2,,40,586.16,535.24,467.16,
PB,Joao Pessoa,Faculdade Uninabuco João Pessoa,UNIDADE SEDE - Tambiá,Gestão de Recursos Humanos,Tecnológico,Matutino,316.86,2,2,,,570.24,553.82,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão de Recursos Humanos,Tecnológico,Curso a Distância,259.91,1,,,,578.50,,,
